state,city
NJ,Woolwich Twp
MO,Saint Ann
PA,Kulpsville
DE,Newport
IL,Shiloh
IL,Waterloo
NJ,Washington Township
PA,Wyndmoor
NJ,Brooklawn
PA,Abington
NJ,Berlin
PA,Darby
TN,Bellevue
PA,Glen Mills
PA,Souderton
TN,Gallatin
MO,Kirkwood
IN,Speedway
PA,Rosemont
MO,Berkeley
PA,Broomall
TN,La Vergne
NJ,Mount Holly
PA,Perkasie
DE,New Castle
FL,Lithia
NJ,Barrington
NJ,Deptford Township
PA,Erdenheim
NJ,Westmont
TN,Greenbrier
IL,Pontoon Beach
IN,Lawrence
PA,Sharon Hill
NJ,Swedesboro
PA,Cheltenham
IN,Whiteland
FL,Belleair
TN,Antioch
PA,Eddystone
PA,East Greenville
PA,Sellersville
LA,Jefferson
NJ,Evesham Township
MO,Webster Groves
IL,Freeburg
PA,Swarthmore
PA,Frazer
NJ,Ewing Township
IN,Camby
NJ,Audubon 
FL,Greater Northdale
MO,Shrewsbury
NJ,Oaklyn
MO,Richmond Heights
IL,Collinsville
FL,Mulberry
NJ,Woodbury Heights
NJ,Deptford
MO,Town & Country
NJ,Hamilton
IN,Whitestown
NJ,Willingboro Township
NJ,Gibbsboro
NJ,Glendora
PA,Stowe
PA,Morton
AB,Beaumont
FL,Dover
IL,O'Fallon
IL,Sauget
NJ,Elmer
IL,Swansea
PA,Lansdowne
ID,Garden City
NJ,Blackwood
NJ,Columbus
PA,Richboro
FL,Thonotosassa
PA,Feasterville-Trevose
PA,Glenmoore
PA,Holmes
NJ,Wenonah
PA,Quakertown
NJ,Mount Ephraim
NJ,Hainesport
NJ,Penns Grove
PA,Gilbertsville
NJ,Hamilton Township
FL,Land o lakes
DE,Claymont
MO,Imperial
PA,Essington
FL,Gibsonton
LA,Arabi
PA,Eagleville
PA,Mendenhall
MO,Clayton
IL,Maryville
PA,Dresher
PA,Penndel
FL,Saint Pete Beach
LA,River Ridge
IL,Columbia
MO,Crestwood
MO,ST. Louis
FL,Land O'Lakes
NJ,Lindenwold
PA,Douglassville
ID,Bosie
NJ,Maple Shade Township
FL,Redington Shores
NJ,Bordentown
PA,Colmar
PA,Secane
CA,santa Barbara
LA,Terrytown
PA,Lafayette Hill
PA,Drexel
PA,abington
PA,Telford
MO,St.Ann
PA,Elverson
PA,Rockledge
NJ,Mickleton
DE,Greenville
NJ,Willingboro
IL,East Saint Louis
NJ,Woolwich Township
PA,Crum Lynne
PA,Hilltown
PA,Spring House
NJ,Laurel Springs
PA,Croydon
NJ,Merchantville
NV,Spanish Springs
NJ,Westampton
FL,Wimauma
NJ,Erial
TN,Mt Juliet
IN,McCordsville
PA,Trappe
NJ,Shamong
NJ,West Deptford
MO,Olivette
FL,Treasure Is
PA,Secane 
NJ,Mt. Laurel
PA,Furlong
AZ,Oracle
FL,Pass-a-Grille
PA,Norriton
IL,Maryville 
IL,Wood River
NJ,Mount Royal
IN,Danville
AZ,Sahuarita
IN,Beech Grove
FL,Petersburg
PA,Trevose
NJ,Paulsboro
FL,Palmetto
IN,New Palestine
IL,Millstadt
PA,Holland
NJ,Southampton
DE,New castle
MO,Valley Park
PA,Jamison
PA,Yeadon
IL,Dupo
PA,Plumsteadville
NJ,Mt Laurel
PA,Mont Clare
PA,Primos-Secane
PA,Audubon
NV,Sun Valley
FL,Indian Rocks Beach
IL,Scott AFB
NJ,Jobstown
NJ,Flanders
TN,Nashville-Davidson metropolitan government (balance)
PA,Wallingford
PA,Wynnewood
FL,East Lake
TN,Nolensville
FL,NEW PORT RICHEY
PA,Philadephia
PA,Boyertown
NJ,Tabernacle
LA,Avondale
NJ,Vineland
IL,Caseyville
NV,Reno 
NJ,Magnolia
PA,Lester
AZ,Vail
NJ,Florence
FL,Hillsborough County
NJ,Mansfield
NJ,South Cinnaminson
PA,Garnet Valley
PA,Maple Glen
PA,Chester Springs
NJ,Clayton
FL,Ybor City
MO,Ladue
MO,Edmundson
FL,Masaryktown
PA,Saint Davids
CA,Truckee
NJ,Waterford Works
AZ,Tuson
FL,Belleair Bluffs
PA,Penn Valley
PA,Belmont Hills
IN,Southport
PA,Radnor
LA,St.Rose
NJ,Lawrenceville
PA,Glenn Mills
AZ,Arizona
DE,Bear
NJ,Newfield
CA,Santa Barbara 
AB,Saint Albert
FL,Indian Shores
NJ,Hammonton
FL,South Pasadena
IN,Franklin
PA,Folcroft
NJ,Gloucester City
MO,Webster Grvs
PA,West Conshohocken
PA,Devon
NJ,Audubon
PA,phoenixville
LA,Meterie
NJ,Evesham
NJ,Berlin Township
FL,Redingtn Shor
PA,Feasterville Trevose
NJ,Monroe Township
PA,Pennsburg
MO,Frontenac
PA,New Britain
NV,SPARKS
FL,New Prt Rchy
PA,Churchville
DE,Elsmere
NC,Boone
NJ,Mercerville
CO,Vail
MO,Rock Hill
PA,Linwood
NJ,Stratford
PA,Merion Park
LA,Belle Chase
PA,Abington Township
MO,Twin Oaks
FL,Dade City
PA,Fairmount Park
FL,lutz
AB,NW Edmonton
ID,Star
AB,Staint Albert
FL,Sun City
IL,O'fallon
PA,Chesterbrook
PA,Coatesville
PA,Merion Station
TN,Murfreesboro
NJ,Salem
NJ,Titusville
LA,Bridge City
CA,Ventura
TN,Lavergne
IN,Indianpolis
NJ,Pittsgrove Township
WA,Spokane
NJ,Logan Township
DE,Talleyville
NJ,Roebling
LA,Elmwood
MO,KIRKWOOD
PA,West Norriton
PA,Meadowbrook
FL,Brooksville
PA,Westtown
PA,Sanatoga
MO,St Louis Downtown
MO,Lemay
MO,Ellisville
PA,PHILA
MO,Oakville
FL,Westchase
NJ,Westampton Township
HI,Lula Lula
MO,Sunset Hills
FL,TWN N CNTRY
PA,Jeffersonville
NJ,Edgewater Park
MO,Breckenridge Hills
PA,Holland Southampton
DE,Pike Creek
FL,Balm
PA,Royford
PA,Pipersville
FL,clearwater
NJ,Delanco
MO,St.Louis
PA,Milmont Park
PA,Upper Darby PA
PA,East Lansdowne
PA,Marcus Hook
PA,Lederach
MO,Lemay Ferry
LA,Bywater
FL,Kenneth City
AB,Spruce Grove
NJ,Thorofare
NJ,Carneys Point
TN,Lebanon
PA,telford
MO,Town & County
FL,Carrollwood
CO,Dumont
PA,Trainer
PA,Southeastern
FL,Twn N Cntry
NJ,Pennington
ID,Kuna
MO,Town And Country
PA,Upper Southampton Township
LA,NEW ORLEANS
AB,West Edmonton
IL,East Alton
PA,Concordville
NV,RENO
PA,Red Hill
NJ,National Park
IN,Greenfield
PA,Unionville
PA,Bucks
PA,Montgomery
NJ,New Jersey
PA,Bryn Athyn
PA,East Norristown
NJ,Mantua Township
AZ,TUCSON
NJ,Clarksboro
PA,Tinicum
NV,sparks
AB,Southeast Edmonton
LA,Jefferson Parish
IL,East St Louis
NJ,Eastampton
MO,St Ann
MO,Pagedale
NJ,Upper Pittsgrove
FL,Springhill
NJ,Burlington Township
CA,Summerland
NJ,Chesterfield
NJ,Harrison Township
PA,Fairless
PA,W.Chester
IL,Scott Air Force Base
FL,Pinecrest West Park
PA,Toughkenamon
PA,Plymouth Township
NJ,W Cherry Hill
PA,Aldan
FL,Pass-a-Grille Beach
PA,Southwest Philadelphia
NJ,Pemberton
FL,Central Tampa
FL,Tierra Verde
IN,lawrence
NV,Washoe Valley
IN,Clermont
IN,Indianapolis 
NJ,Pennsauken Township
NJ,Hadden
NJ,Almonesson
DE,wilmington
PA,Birchrunville
FL,VALRICO
TN,Joelton
FL,New Pt Richey
CA,Port Hueneme
NV,RENO AP
AZ,Mount Lemmon
PA,Norwood
FL,saint petersburg
MO,St. Ann
MO,Charlack
TN,Pegram
ID,Boise City
AZ,Tucson 
NJ,Lawrence Township
FL,Ozona
MO,Mehville
NJ,Pittsgrove
PA,Erdenheim Pa
NJ,Pine Hill
LA,Mandeville
FL,Saintt Petersburg
IL,Bellville
IL,Rosewood Heights
NJ,Haddon Twp
TN,East Nashville
MO,Marlborough
IL,East St. Louis
AZ,Cortaro
PA,Worcester
PA,Upper Chichester
TN,Berry Hill
TN,Ashland
MO,South County
IL,Bethalto
AZ,Valencia West
PA,Tullytown
MO,Saint louis
NJ,Mantua
PA,Holicong
PA,Phila
MO,Saint John
ID,Boise (Meridian)
AZ,Rillito
NJ,Winslow
NJ,Pine HIll
IL,Fairview Hts.
PA,Gwynedd Valley
FL,Ste C
PA,Philadelphia PA
AB,EdMonton
ID,Meridan
PA,Ridley
LA,Violet
AZ,Catalina
PA,Feasterville-trevose
PA,Upper Gwynedd
PA,Hartsville
MO,SAINT LOUIS
NJ,Haddon
LA,metairie
NJ,Pilesgrove
NJ,West Deptford Townsh
TN,Inglewood
AZ,Summerhaven
PA,Parkside
PA,Yardley Boro
PA,Chestnut Hill
LA,Meraux
NJ,Malaga
CA,West Hill
FL,Southwest Tampa
NJ,Lawrence
FL,St. Pete
NJ,Oldmans
IN,Castleton
NJ,Bridgeport
PA,YARDLEY
NJ,Cedar Brook
PA,Newtown Township
CA,Santa Ynez
ID,MERIDIAN
AZ,Casa Adobes
NJ,Medford Lakes
PA,WEST CHESTER
PA,clifton heights
NJ,Mt. Ephraim
DE,Marshallton
FL,riverview
PA,Ivyland
FL,​Largo
DE,Christiana
NJ,Beverly
PA,Melrose Park
ID,boise
NJ,Bordentown Township
PA,Hulmeville
FL,S Pasadena
NJ,Pennsville Township
NJ,Southampton Township
IN,Oaklandon
IN,Mccordsville
MO,Sappington
FL,Town n Country
FL,Wyndlake Condominium
WA,College Place
MO,St.louis
PA,Bensalem Township
PA,Ridley Township
PA,LOWER PROVIDENCE
IN,Mc Cordsville
AZ,Corona de Tucson
IL,Washington Park
FL,San Antonio
FL,Palm harbor
MO,Creve Couer
FL,land o lakes
LA,French Quarter
PA,Lower Gwynedd Township
LA,Waggaman
PA,Rose Valley
FL,East Tampa
UT,Eagle
TX,Mount Juliet
CA,Sparks
LA,Luling
PA,Zieglerville
PA,NORRISTOWN
CA,Kings Beach
FL,Bradenton
TN,Donelson
LA,Covington
NJ,Pennsaulen
MO,Woodson Terrace
ID,Meridian 
FL,St Pete
CA,Mission Canyon
TN,Arrington
PA,Franconia
IN,Bargersville
MO,West Alton
TN,"Nashville,"
NJ,"Mt Laurel Twp, NJ"
NJ,Gibbstown
FL,"Saint Petersburg,"
PA,Philadelphila 
FL,Citrus Park
PA,Gladwyne
TX,Houston
FL,NEW PRT RCHY
NJ,Tren
PA,Skippack Village
NJ,West Mount Holly
PA,Upland
LA,New orleans
MO,CREVE COEUR
ID,Horseshoe Bend
IL,OFallon
PA,New Berlinville
FL,CLEARWATER BEACH
NJ,Hilltop
LA,Saint Rose
FL,Tampa - North
DE,Smyrna
IN,"Beech Grove,"
IN,INDIANAPOLIS
PA,Gradyville
PA,erdenheim
FL,Thonosassa
NJ,Elk Township
TN,franklin
PA,Devon-Berwyn
PA,AMBLER
NJ,Vincentown
PA,Manayunk
PA,PHILADELPHIA
FL,Indian Rocks Beach. 
PA,Bethel
AZ,tucson
AB,Eaux Claires
MO,St  Louis
CA,Los Angeles
PA,Glenoldan
FL,Wesley chapel
IN,Lawrence Township
AZ,"Tucson, Arizona"
FL,"Clearwater,"
PA,Edgmont
NV,Reno Nevada
NV,reno
NJ,Winslow Township
PA,Concord Township
MO,Blvd
FL,North Redington Bch
IL,Hartford
NJ,maple shade nj
PA,Parker Ford
NJ,Had Twp
NJ,Westmont - Haddon Towsship
IN,Westfield
LA,St Rose
DE,Wilmington Manor
DE,Yorklyn
LA,Saint Bernard
PA,Rushland
NJ,West Trenton
CO,Denver
PA,Cheltenham Township
PA,Lansdale 
NJ,Crosswicks
NJ,Philadelphia
IL,Madison
FL,RIVERVIEW
PA,Wrightstown
NJ,Mt Holly
TN,Spring Hill
PA,Carversville
FL,CLEARWATER
MO,Green Park
FL,St Petersberg
FL,Zephryhills
PA,Cornwells Heights
NV,VC Highlands
MO,St. Loius
FL,largo
IN,indianopolis
FL,"Palm Harbor, FL"
DE,NEWARK
NJ,Echelon
IL,South Roxana
FL,LARGO
IL,Cottage Hills
PA,Oakford
FL,St.Petersburg
MO,ST LOUIS
FL,Belleair Blf
CA,Tampa
FL,Tampa Florida
PA,Bristol Twp
FL,Kenneth
PA,Pilgrim Gardens
DE,Trolley Square
PA,LANSDALE
MT,Kalispell
NJ,North Marlton
MO,Glendale
FL,Tarpon springs
NJ,Moorestown-Lenola
FL,Bayonet Point
FL,Tampa Terrace
PA,Pineville
IN,Lebanon
LA,St. Rose
MO,​Clayton
MO,Lake Saint Louis
MO,Mehlville
FL,Shady Hills
PA,Bethel Township
NJ,Cherry Hil
ID,"Eagle,"
PA,Andalusia
NJ,Mt Laurel Township
NJ,West  Deptford
TN,Belle Meade
IL,Ofallon
PA,West Point
TN,NASHVILLE AP
PA,Zieglersville
NV,Cold Springs
NJ,Washington Twp
PA,Woodbourne
MO,Saint Louis
PA,Lower Gwynedd
PA,Earlington
TN,MADISON
LA,Riveridge
TN,Whites Creek
CA,Oxnard
PA,Center City Philadelphia
PA,North Coventry
PA,Lower Merion
NJ,Chesilhurst
FL,Land-O-Lakes
TN,Rural Hill
IL,Fairview Hts
MO,St louis
IL,Centreville
PA,Warwick
PA,Strafford
FL,​Lithia
NJ,Quinton
CA,Cerritos
FL,Claerwater
NJ,Eastampton Township
CA,Eagle
AZ,South Tucson
NJ,Woolwich Twp.
TN,Nashville 
PA,"Downingtown,"
PA,Radnor Township
PA,Mechanicsville
MO,Black Jack
IN,New Whiteland
LA,Downtown
MI,Roseville
IN,Boone
FL,Saint Petersburg Beach
MO,St. Peters
IN,Nashville
PA,Feastville
IL,Chicago
NJ,Oldmans Township
IN,Wanamaker
FL,Pinellas park
NJ,Mt. Holly
PA,Phonixville
MO,Kimmswick
PA,Saint Peters
TN,Nixa
NJ,Freehold
AB,Pilot Sound Area West Portion
LA,Gentilly
NJ,pennsauken
NJ,Hamiltion
CA,Reno
FL,Redington Beach
PA,Newtown square
FL,Belleair Beach
FL,Lutz fl
PA,Gwynedd
PA,COLMAR
NV,Nevada
PA,Chester Township
PA,Montgomery Township
IN,Fortville
ID,meridian
TN,Fairview
PA,Gardenville
FL,Safety  Harbor
IN,Pleasant Township
PA,Thornton
CA,Meridian
FL,Pinellas
PA,FOLSOM
PA,Roxborough
PA,Gulph Mills
PA,Bucks County
FL,SPRINGHILL
PA,Danboro
FL,Pasadena
FL,ST. PETE BEACH
NJ,Mt Ephraim
PA,Forest Grove
PA,King of Prussi
PA,Drexel Hil
AZ,Casas Adobes
IN,Hancock
PA,Mt. Airy
NJ,Swedesboro 
MO,Hampton
PA,Eddington
FL,Hillsborough
PA,Stroudsburg
PA,Washington
IN,Downtown Indianapolis
FL,SEMINOLE
CA,Santa Clara
PA,Wayne/Radnor
NJ,Mt.Laurel
TN,Mt.Juliet
NJ,Monroeville
NJ,sewell
FL,Crystal Beach
LA,Mississauga
TN,Brentwood - Cool Springs
PA,kop
PA,Virtual
PA,Sassamansville
PA,Fox Street
IN,AVON
PA,Upper Merion Township
NV,Washoe
IN,Cumberland
PA,Fairview Village
ID,Boise 
FL,tampa
FL,TARPON SPRINGS
NV,Sparks 
PA,Conshohoeken
PA,Norritown
PA,Cherry Hill
MO,Barnhart
PA,langhorne
FL,River View
AZ,Santa Rita
PA,Linfield
MO,Peerless Park
FL,DUNEDIN
FL,HUdson
FL,Bradenton Beach
PA,Pottsgrove
ID,Nampa
IL,E Saint Louis
ID,San Anselmo
PA,Warrington Township
FL,Dunedin 
FL,St Pete beach
TN,Knoxville
FL,N Redington Bch
IL,Roxana
AZ,Drexel Heights
CA,Valencia
IL,Fairmont City
LA,New Orlaens
AB,Sturgeon Couny
PA,E. Norristown
NJ,Richwood
FL,chicago
FL,Crystal Springs
TN,Whitehouse
NV,Sparks NV
NV,Mount Laurel
PA,"Feasterville-Trevose, PA"
PA,West Philadelphia
FL,Forest Hills
NJ,Shade
AZ,Picture Rocks
AZ,Los Ranchitos
PA,Cedars
NJ,Deptford Twp
DE,Montchanin
HI,Tucson
PA,Solebury
FL,Belleair Blufs
NJ,Hi-Nella
CA,Real Goleta
PA,Center Square
IL,O' Fallon
NJ,Southampton 
PA,MIDDLE CITY WEST
LA,Bucktown
PA,Landsdale
FL,wimauma
PA,Newton Square
FL,Dunnellon
FL,Tampa Palms
IL,Brooklyn
PA,West Chester PA
NJ,"Cherry Hill,"
LA,Chalemette
DE,Wilmington 
NJ,Grenloch
PA,Lima
FL,Mango
CA,"Santa Barbara,"
PA,Royersford 
AB,East Edmonton
PA,Tylersport
FL,Tampa - South
NV,Carson City
NJ,Evshm Twp
FL,ST. PETERSBURG
NV,McCarran
FL,New Orleans
NJ,Delran Twp
NJ,Franklin
LA,Algiers
PA,Lenni
IL,Scott Afb
IN,Martinsville
DE,Edgemoor
PA,Glenmore
PA,Feasterville Trev
MO,Saint Louis 
PA,Penllyn
PA,Upper Southampton
CA,Spring Hill
CA,Aliso Viejo
FL,Largo (Walsingham)
FL,Sarasota
PA,Sumneytown
PA,Pennsylvania
DE,Glen Mills
PA,frazer
NJ,Bridgeton
IN,Delray Beach
FL,N Redngtn Bch
NJ,North Maple Shade
FL,Land o Lakes
SD,Tampa
FL,Palm harbor 
FL,Boulevard
IN,Monrovia
TN,Green Hills
NJ,Carney's Point
LA,new orleans
PA,Cynwyd
PA,Honey Brook
FL,Greater Carrollwood
AB,Enoch
FL,LITHIA
PA,POTTSTOWN
PA,Edgemont
PA,Chester Heights
FL,Lakeland
PA,LOWER MERION
FL,BRANDON
MO,SAINT LOUIS AP
NJ,TRENTON
MO,St Louis County
PA,philadelphia
FL,University Park
PA,quakertown
NJ,Springfield
FL,ClearWater
LA,Metarie
MO,saint ann
LA,elmwood
MO,Afton
NJ,South Harrison Township
DE,Arden
PA,horsham
FL,Town N Country
NV,New Washoe City
PA,West Bradford Township
CA,SANTA BARBARA AP
TX,Austin
NV,Reno City
MO,Bridgeton 
PA,MEDIA
NJ,Folsom
FL,St.Pete Beach
FL,Tampla
ID,GARDEN CITY
TN,Nolenville
NV,Stead
MO,Kimmiswick
AB,Old Strathcona
FL,South Tampa
TX,Nashville
CA,South Lake Tahoe
PA,Cornwells Hts
PA,Buckingham Township
NJ,Fieldsboro
PA,ARDMORE
PA,Festerville
XMS,Liverpool
TN,Franklin 
NJ,Pedricktown
TN,DONELSON
TN,Goodletsville
FL,Redingtn Shores
PA,Falls
CA,Santa Barbara & Ventura Counties
TN,Cane Ridge
PA,"Havertown, PA"
LA,Metairie 
ID,BOISE AP
IL,Belleville 
NJ,Hopewell Township
PA,Southhampton
PA,Delaware
IN,Zionsville In
CA,Santa Barbra
PA,North Coventry Township
AB,Sherwood
AZ,Corona De Tucson
FL,"Land o' Lakes,"
LA,French Quarter - CBD
DE,Centreville
PA,Pine Forge
PA,Newportville
PA,NORTH WALES
PA,Philiidelphia
FL,SAINT PETERSBURG
PA,New Britian
PA,Lower Southampton Township
PA,Huntington Valley
IN,"Indianapolis,"
DE,Newcastle
NJ,Hi Nella
NJ,Stone Harbor
TN,Nsshville
PA,East Falls
TN,Lakewood
NJ,Haddon township
CA,SANTA BARBARA
PA,Bensalem. Pa
FL,Riverview Fl
FL,Elfers
LA,NEW ORLEANS AP
DE,Media
NJ,South Burlington
PA,"Haverford,"
PA,Newtown Sqaure
AB,Alberta Park Industrial
MO,Bellefontaine
NJ,Westhampton
TN,nashville
PA,Chichester
MO,Bellefontaine Neighbors
PA,Upper Pottsgrove
IN,Indianapolis city (balance)
NJ,W. Berlin
PA,Tinicum Township
TN,Brentwood 
MO,Town and Country 
NV,South Reno
IN,Fairland
NJ,Berlin Boro
DE,Winterthur
PA,gilbertsville
MO,Winchester
PA,Blooming Glen
MO,"Maryland Height, MO"
MO,Dellwood
FL,"Safety Harbor,"
AZ,Oro valley
FL,wesley chapel
IL,St Louis
TN,"Old Hickory, TN"
FL,Wesley Chapel 
NJ,Ewing Twp
FL,Wesley Ccapel
AB,AB Edmonton
MO,"Saint Louis,"
PA,CHESTER HEIGHTS
IN,Indiana
FL,St Petersurg
FL,Tampa 
ID,BOISE
NJ,Gloucester
PA,Warminster 
DE,Wilimington
AZ,Green Valle
MO,Twin oaks
LA,Boutte
NJ,Blackwood 
TN,Mt  Juliet
FL,Madiera Beach
NJ,Washington
PA,Haverford 
IL,Lincoln
PA,West Norriton 
IN,Plainfiled
PA,CLIFTON HEIGHTS
NJ,DELRAN
FL,St. Petersberg
FL,PINELLAS PARK
PA,Telford 
PA,LANGHORNE
MO,St.Charles
PA,DOWNINGTOWN
FL,TRINITY
PA,Philly
FL,Saint Leo
TN,South Madison
NJ,Alloway
NJ,Cherry Hill Mall
FL,Tierre Verde
AZ,Maran
DE,Stanton
AB,Fort Saskatchewan
PA,Philadelphia (Northeast Philly)
NJ,MARLTON
PA,Landsale
IL,St. Louis
IL,Foster Pond
PA,Newtown Sq.
CA,Costa Mesa
PA,Frederick
PA,UPPR BLCK EDY
MA,Lynnfield
PA,CONSHOHOCKEN
PA,Wycombe
CA,Santa  Barbara
PA,Wilmington
PA,Swedeland
TN,Tennesse
NJ,West Collingswood Heights
FL,"Tampa,Fl"
PA,Barto
MA,Boston
PA,N.Wales
PA,Creamery
NV,"Sparks,"
PA,Merion
ID,St Boise
MO,Sullivan
NJ,Glendale
TN,goodlettsville
MO,Bel Ridge
PA,West Rockhill
PA,Haverton
PA,London Grove
CA,Salinas
DE,Dover
IN,INpolis
TN,Clarksville
PA,Rutledge
NJ,Delran Township
NJ,Hatboro
MO,Concord Village
CA,Carpinteria 
PA,spring city
FL,Land O'lakes
AZ,TUCSON AP
FL,"Tampa,"
FL,spring hill
IN,Johnson
FL,St. Leo
NJ,Hurffville
PA,Kirklyn
PA,Overbrook
FL,New Tampa
AB,Edmonton City Centre
FL,Macdill Afb
MO,Charles
VI,Tortola
PA,Kng Of Prusia
PA,Newtown Sq
FL,Redington Shore
PA,Philadelphia 
FL,Clearwater/ Countryside
FL,Pasco
ID,East Boise
NJ,South Cherry Hill
TN,nolensville
PA,Williamsport
PA,Caln
PA,Fallsington
FL,Apopka
FL,TEMPLE TERR
FL,TAMPA AP
PA,RADNOR
FL,Safety Hatbor
